,0,1,2,3,4,5,6,7,8,9
0,0.0,8.361771754177903e-20,2.684342889654926e-18,4.44568766559046e-18,3.7084232910600766e-19,2.0363324734957954e-21,2.65837964950526e-25,2.2984685061246875e-28,5.137112388411841e-29,0.0
1,2.3116193694426664e-21,1.1951146967492763e-16,3.134911822077199e-16,1.347615422621287e-16,1.9167412917467884e-17,3.9164163145313994e-19,1.1931960921109295e-22,5.7835233282748424e-27,1.5583619905804877e-31,7.552253977352485e-36
2,2.7798631603327847e-18,1.2660712592460384e-15,3.052825409825283e-16,1.2848669116886745e-17,9.343974843992086e-20,2.659450980062131e-22,2.10971473793764e-27,3.1765892412238395e-33,2.2263781358012307e-38,1.6603384298477474e-45
3,2.836147519289878e-17,1.3718408198523263e-15,1.180096766368073e-16,1.339000955976618e-18,4.364119888625234e-22,4.402706595066655e-27,9.262196991577569e-35,4.530084267304093e-43,2.8648968620003412e-49,5.811683304673e-60
4,3.004751943129888e-17,5.887936409559638e-16,3.0557892667178356e-17,1.3264945228204004e-19,6.449709765787514e-24,4.83290358145522e-31,9.817102213876863e-42,3.6208989354701723e-56,6.813596701272684e-64,1.88344709426837e-78
5,1.1046560079630996e-17,1.4316561913942552e-16,6.722606807774038e-18,2.001097596908849e-20,4.751306634368403e-25,9.667226244025115e-33,1.7770758379956427e-44,3.282026867907169e-61,2.095031505463392e-65,3.6673334152309535e-82
6,1.7130592656616606e-18,2.355323428434812e-17,1.3351571475726608e-18,5.645270472905089e-21,2.736124487083387e-25,2.0404906749630423e-32,4.149817821500148e-43,1.7845752699737533e-51,7.842250023400474e-53,2.1677923814218073e-67
7,1.3889725744958695e-19,2.485928507756626e-18,2.3486402709183697e-19,2.522309989665584e-21,7.696494240070458e-25,1.4747003271640128e-30,7.469981275050208e-39,3.4480378075944845e-43,8.013625849392517e-48,1.6256311414398466e-58
8,4.599328944763975e-21,1.5109176384655484e-19,4.476495230029719e-20,1.429482125559357e-21,4.175216743989527e-24,3.9167768687465857e-28,7.506288246467508e-34,6.044522554081043e-41,3.0215894857107413e-46,2.2533733428638635e-53
9,0.0,9.24655618178204e-22,1.8526803518908984e-21,8.036919073862877e-23,8.448448832960907e-26,1.143115514105528e-30,2.286889599751999e-37,2.9293431036039885e-45,7.171999688669196e-51,0.0
